Country or Area,Year,Unit,Quantity
Australia,2018,"Kilowatt-hours, million",0
Australia,2017,"Kilowatt-hours, million",0.512
Australia,2016,"Kilowatt-hours, million",0
Australia,2015,"Kilowatt-hours, million",1
Australia,2014,"Kilowatt-hours, million",1
Australia,2013,"Kilowatt-hours, million",1
Australia,2012,"Kilowatt-hours, million",1
Australia,2011,"Kilowatt-hours, million",1
Australia,2010,"Kilowatt-hours, million",1
Australia,2009,"Kilowatt-hours, million",1
Australia,2008,"Kilowatt-hours, million",1
Australia,2007,"Kilowatt-hours, million",1
Australia,2006,"Kilowatt-hours, million",1
Austria,2019,"Kilowatt-hours, million",0.2
Austria,2018,"Kilowatt-hours, million",0.239
Austria,2017,"Kilowatt-hours, million",0.091
Austria,2016,"Kilowatt-hours, million",0
Austria,2015,"Kilowatt-hours, million",0
Austria,2014,"Kilowatt-hours, million",0
Austria,2013,"Kilowatt-hours, million",0
Austria,2012,"Kilowatt-hours, million",1
Austria,2011,"Kilowatt-hours, million",1
Austria,2010,"Kilowatt-hours, million",1
Austria,2009,"Kilowatt-hours, million",2
Austria,2008,"Kilowatt-hours, million",2
Austria,2007,"Kilowatt-hours, million",2
Austria,2006,"Kilowatt-hours, million",3
Austria,2005,"Kilowatt-hours, million",2
Austria,2004,"Kilowatt-hours, million",2
Austria,2003,"Kilowatt-hours, million",3
Austria,2002,"Kilowatt-hours, million",3
Chile,2019,"Kilowatt-hours, million",202
Chile,2018,"Kilowatt-hours, million",214.1
Chile,2017,"Kilowatt-hours, million",63.8
Costa Rica,2020,"Kilowatt-hours, million",1689.1735
Costa Rica,2019,"Kilowatt-hours, million",1512.575
Costa Rica,2018,"Kilowatt-hours, million",968.571
Costa Rica,2017,"Kilowatt-hours, million",1117.832
Costa Rica,2016,"Kilowatt-hours, million",1339.515
Costa Rica,2015,"Kilowatt-hours, million",1375.628889
Costa Rica,2014,"Kilowatt-hours, million",1538.135556
Costa Rica,2013,"Kilowatt-hours, million",1516.735278
Costa Rica,2012,"Kilowatt-hours, million",1402.550833
Costa Rica,2011,"Kilowatt-hours, million",1279.542778
Costa Rica,2010,"Kilowatt-hours, million",1176.080555
Costa Rica,2009,"Kilowatt-hours, million",1185.838889
Costa Rica,2008,"Kilowatt-hours, million",1130.863889
Costa Rica,2007,"Kilowatt-hours, million",1238.530555
Costa Rica,2006,"Kilowatt-hours, million",1214.888889
Costa Rica,2005,"Kilowatt-hours, million",1148.333333
Costa Rica,2004,"Kilowatt-hours, million",1116
Costa Rica,2003,"Kilowatt-hours, million",920
Costa Rica,2002,"Kilowatt-hours, million",1121
Costa Rica,2001,"Kilowatt-hours, million",986
Costa Rica,2000,"Kilowatt-hours, million",976
Costa Rica,1999,"Kilowatt-hours, million",804
Costa Rica,1998,"Kilowatt-hours, million",591
Costa Rica,1997,"Kilowatt-hours, million",544
Costa Rica,1996,"Kilowatt-hours, million",510
Costa Rica,1995,"Kilowatt-hours, million",468
Costa Rica,1994,"Kilowatt-hours, million",342
Croatia,2019,"Kilowatt-hours, million",91.9
Croatia,2018,"Kilowatt-hours, million",2
El Salvador,2020,"Kilowatt-hours, million",1557.05
El Salvador,2019,"Kilowatt-hours, million",1474
El Salvador,2018,"Kilowatt-hours, million",1545.3
El Salvador,2017,"Kilowatt-hours, million",1569.1
El Salvador,2016,"Kilowatt-hours, million",1576
El Salvador,2015,"Kilowatt-hours, million",1539.7
El Salvador,2014,"Kilowatt-hours, million",1557.6
El Salvador,2013,"Kilowatt-hours, million",1560
El Salvador,2012,"Kilowatt-hours, million",1535
El Salvador,2011,"Kilowatt-hours, million",1534
El Salvador,2010,"Kilowatt-hours, million",1525
El Salvador,2009,"Kilowatt-hours, million",1524
El Salvador,2008,"Kilowatt-hours, million",1519
El Salvador,2007,"Kilowatt-hours, million",1382
El Salvador,2006,"Kilowatt-hours, million",1140
El Salvador,2005,"Kilowatt-hours, million",1051
El Salvador,2004,"Kilowatt-hours, million",1011
El Salvador,2003,"Kilowatt-hours, million",1026
El Salvador,2002,"Kilowatt-hours, million",993
El Salvador,2001,"Kilowatt-hours, million",966
El Salvador,2000,"Kilowatt-hours, million",786
El Salvador,1999,"Kilowatt-hours, million",598
El Salvador,1998,"Kilowatt-hours, million",451
El Salvador,1997,"Kilowatt-hours, million",486
El Salvador,1996,"Kilowatt-hours, million",431
El Salvador,1995,"Kilowatt-hours, million",443
El Salvador,1994,"Kilowatt-hours, million",407
El Salvador,1993,"Kilowatt-hours, million",380
El Salvador,1992,"Kilowatt-hours, million",391
El Salvador,1991,"Kilowatt-hours, million",425
El Salvador,1990,"Kilowatt-hours, million",419
Ethiopia,2011,"Kilowatt-hours, million",8
Ethiopia,2010,"Kilowatt-hours, million",18
Ethiopia,2009,"Kilowatt-hours, million",24
Ethiopia,2008,"Kilowatt-hours, million",14
Ethiopia,2007,"Kilowatt-hours, million",0
Ethiopia,2006,"Kilowatt-hours, million",0
Ethiopia,2005,"Kilowatt-hours, million",0
Ethiopia,2004,"Kilowatt-hours, million",0
Ethiopia,2003,"Kilowatt-hours, million",0
Ethiopia,2002,"Kilowatt-hours, million",1
Ethiopia,2001,"Kilowatt-hours, million",5
Ethiopia,2000,"Kilowatt-hours, million",20
Ethiopia,1999,"Kilowatt-hours, million",26
Ethiopia,1998,"Kilowatt-hours, million",20
Ethiopia,1997,"Kilowatt-hours, million",6
Ethiopia,1996,"Kilowatt-hours, million",6
Ethiopia,1995,"Kilowatt-hours, million",6
Ethiopia,1994,"Kilowatt-hours, million",5
"Ethiopia, incl. Eritrea",1993,"Kilowatt-hours, million",68
"Ethiopia, incl. Eritrea",1992,"Kilowatt-hours, million",66
"Ethiopia, incl. Eritrea",1991,"Kilowatt-hours, million",65
"Ethiopia, incl. Eritrea",1990,"Kilowatt-hours, million",66
France,2019,"Kilowatt-hours, million",128.486
France,2018,"Kilowatt-hours, million",126.975
France,2017,"Kilowatt-hours, million",133.13
France,2016,"Kilowatt-hours, million",97
France,2015,"Kilowatt-hours, million",92
France,2014,"Kilowatt-hours, million",83
France,2013,"Kilowatt-hours, million",90
France,2012,"Kilowatt-hours, million",57
France,2011,"Kilowatt-hours, million",62
Germany,2019,"Kilowatt-hours, million",197
Germany,2018,"Kilowatt-hours, million",178
Germany,2017,"Kilowatt-hours, million",163
Germany,2016,"Kilowatt-hours, million",175
Germany,2015,"Kilowatt-hours, million",134
Germany,2014,"Kilowatt-hours, million",98
Germany,2013,"Kilowatt-hours, million",80
Germany,2012,"Kilowatt-hours, million",25
Germany,2011,"Kilowatt-hours, million",19
Germany,2010,"Kilowatt-hours, million",28
Germany,2009,"Kilowatt-hours, million",19
Germany,2008,"Kilowatt-hours, million",18
Guadeloupe,2016,"Kilowatt-hours, million",84.1
Guadeloupe,2015,"Kilowatt-hours, million",82.8
Guadeloupe,2014,"Kilowatt-hours, million",75.4
Guadeloupe,2013,"Kilowatt-hours, million",81.3
Guadeloupe,2012,"Kilowatt-hours, million",50.6
Guadeloupe,2011,"Kilowatt-hours, million",55.9
Guadeloupe,2010,"Kilowatt-hours, million",14.6
Guadeloupe,2009,"Kilowatt-hours, million",49.5
Guadeloupe,2008,"Kilowatt-hours, million",89.3
Guadeloupe,2007,"Kilowatt-hours, million",94.7
Guadeloupe,2006,"Kilowatt-hours, million",78.1
Guadeloupe,2005,"Kilowatt-hours, million",95.3
Guadeloupe,2004,"Kilowatt-hours, million",29.2
Guadeloupe,2003,"Kilowatt-hours, million",23.1
Guadeloupe,2002,"Kilowatt-hours, million",16.9
Guadeloupe,2001,"Kilowatt-hours, million",19.6
Guadeloupe,2000,"Kilowatt-hours, million",21.4
Guadeloupe,1999,"Kilowatt-hours, million",20.1
Guadeloupe,1998,"Kilowatt-hours, million",23.2
Guadeloupe,1997,"Kilowatt-hours, million",0
Guadeloupe,1996,"Kilowatt-hours, million",6.8
