Country or Area,Year,Unit,Quantity
Afghanistan,2020,"Kilowatt-hours, million",31.93
Afghanistan,2019,"Kilowatt-hours, million",20.77
Albania,2020,"Kilowatt-hours, million",32.26
Albania,2019,"Kilowatt-hours, million",22.196
Algeria,2019,"Kilowatt-hours, million",678.05
Algeria,2018,"Kilowatt-hours, million",654.66
Algeria,2017,"Kilowatt-hours, million",559.711
Algeria,2016,"Kilowatt-hours, million",339.1
Algeria,2015,"Kilowatt-hours, million",161.954
Algeria,2014,"Kilowatt-hours, million",197.733
American Samoa,2019,"Kilowatt-hours, million",5.082
American Samoa,2018,"Kilowatt-hours, million",4.832
American Samoa,2017,"Kilowatt-hours, million",4.832
American Samoa,2016,"Kilowatt-hours, million",2.92
American Samoa,2015,"Kilowatt-hours, million",2.35
American Samoa,2014,"Kilowatt-hours, million",2.37
American Samoa,2013,"Kilowatt-hours, million",2.419
American Samoa,2012,"Kilowatt-hours, million",1.409
American Samoa,2011,"Kilowatt-hours, million",0
Andorra,2020,"Kilowatt-hours, million",2
Andorra,2019,"Kilowatt-hours, million",1.6
Andorra,2018,"Kilowatt-hours, million",0.9
Andorra,2017,"Kilowatt-hours, million",0.7
Andorra,2016,"Kilowatt-hours, million",0.3
Andorra,2015,"Kilowatt-hours, million",0.2
Andorra,2014,"Kilowatt-hours, million",0.2
Angola,2019,"Kilowatt-hours, million",18
Angola,2018,"Kilowatt-hours, million",18
Angola,2017,"Kilowatt-hours, million",18
Angola,2016,"Kilowatt-hours, million",18
Angola,2015,"Kilowatt-hours, million",18
Angola,2014,"Kilowatt-hours, million",17
Angola,2013,"Kilowatt-hours, million",15
Angola,2012,"Kilowatt-hours, million",14
Angola,2011,"Kilowatt-hours, million",11
Angola,2010,"Kilowatt-hours, million",10
Angola,2009,"Kilowatt-hours, million",8
Angola,2008,"Kilowatt-hours, million",7
Angola,2007,"Kilowatt-hours, million",4
Angola,2006,"Kilowatt-hours, million",1
Angola,2005,"Kilowatt-hours, million",1
Anguilla,2020,"Kilowatt-hours, million",2
Anguilla,2019,"Kilowatt-hours, million",2
Anguilla,2018,"Kilowatt-hours, million",2
Anguilla,2017,"Kilowatt-hours, million",2
Anguilla,2016,"Kilowatt-hours, million",2
Anguilla,2015,"Kilowatt-hours, million",1
Anguilla,2014,"Kilowatt-hours, million",1
Antigua and Barbuda,2019,"Kilowatt-hours, million",13
Antigua and Barbuda,2018,"Kilowatt-hours, million",13
Antigua and Barbuda,2017,"Kilowatt-hours, million",9
Antigua and Barbuda,2016,"Kilowatt-hours, million",9
Antigua and Barbuda,2015,"Kilowatt-hours, million",7
Antigua and Barbuda,2014,"Kilowatt-hours, million",2
Antigua and Barbuda,2013,"Kilowatt-hours, million",2
Antigua and Barbuda,2012,"Kilowatt-hours, million",2
Antigua and Barbuda,2011,"Kilowatt-hours, million",1
Argentina,2020,"Kilowatt-hours, million",1344.6
Argentina,2019,"Kilowatt-hours, million",800
Argentina,2018,"Kilowatt-hours, million",108
Argentina,2017,"Kilowatt-hours, million",16
Argentina,2016,"Kilowatt-hours, million",14
Argentina,2015,"Kilowatt-hours, million",15
Argentina,2014,"Kilowatt-hours, million",16
Argentina,2013,"Kilowatt-hours, million",15
Argentina,2012,"Kilowatt-hours, million",8
Argentina,2011,"Kilowatt-hours, million",2
Argentina,2010,"Kilowatt-hours, million",0.09
Argentina,2009,"Kilowatt-hours, million",0.08
Armenia,2019,"Kilowatt-hours, million",60.745
Armenia,2018,"Kilowatt-hours, million",19.463
Armenia,2017,"Kilowatt-hours, million",2.743
Armenia,2016,"Kilowatt-hours, million",1
Armenia,2015,"Kilowatt-hours, million",1
Australia,2019,"Kilowatt-hours, million",14848
Australia,2018,"Kilowatt-hours, million",9929
Australia,2017,"Kilowatt-hours, million",8071.12
Australia,2016,"Kilowatt-hours, million",6209
Australia,2015,"Kilowatt-hours, million",5023
Australia,2014,"Kilowatt-hours, million",4010
Australia,2013,"Kilowatt-hours, million",3475
Australia,2012,"Kilowatt-hours, million",2325
Australia,2011,"Kilowatt-hours, million",1391
Australia,2010,"Kilowatt-hours, million",389
Australia,2009,"Kilowatt-hours, million",160
Australia,2008,"Kilowatt-hours, million",127
Australia,2007,"Kilowatt-hours, million",109
Australia,2006,"Kilowatt-hours, million",91
Australia,2005,"Kilowatt-hours, million",79
Australia,2004,"Kilowatt-hours, million",69
Australia,2003,"Kilowatt-hours, million",59
Australia,2002,"Kilowatt-hours, million",50
Australia,2001,"Kilowatt-hours, million",44
Australia,2000,"Kilowatt-hours, million",38
Australia,1999,"Kilowatt-hours, million",34
Australia,1998,"Kilowatt-hours, million",28
Australia,1997,"Kilowatt-hours, million",23
Australia,1996,"Kilowatt-hours, million",19
Australia,1995,"Kilowatt-hours, million",16
Australia,1994,"Kilowatt-hours, million",13
Australia,1993,"Kilowatt-hours, million",11
Austria,2019,"Kilowatt-hours, million",1702.093
Austria,2018,"Kilowatt-hours, million",1455.132
Austria,2017,"Kilowatt-hours, million",1268.971
Austria,2016,"Kilowatt-hours, million",1096
Austria,2015,"Kilowatt-hours, million",937
Austria,2014,"Kilowatt-hours, million",785
Austria,2013,"Kilowatt-hours, million",626
Austria,2012,"Kilowatt-hours, million",337
Austria,2011,"Kilowatt-hours, million",174
