Country or Area,Year,Unit,Quantity
Canada,2019,"Kilowatt-hours, million",1
Canada,2018,"Kilowatt-hours, million",20
Canada,2017,"Kilowatt-hours, million",6
Canada,2016,"Kilowatt-hours, million",19
Canada,2015,"Kilowatt-hours, million",13
Canada,2014,"Kilowatt-hours, million",16
Canada,2013,"Kilowatt-hours, million",15
Canada,2012,"Kilowatt-hours, million",27
Canada,2011,"Kilowatt-hours, million",26
Canada,2010,"Kilowatt-hours, million",28
Canada,2009,"Kilowatt-hours, million",30
Canada,2008,"Kilowatt-hours, million",15
Canada,2007,"Kilowatt-hours, million",23
Canada,2006,"Kilowatt-hours, million",19
Canada,2005,"Kilowatt-hours, million",28
Canada,2004,"Kilowatt-hours, million",31
Canada,2003,"Kilowatt-hours, million",33
Canada,2002,"Kilowatt-hours, million",32
Canada,2001,"Kilowatt-hours, million",32
Canada,2000,"Kilowatt-hours, million",32
Canada,1999,"Kilowatt-hours, million",32
Canada,1998,"Kilowatt-hours, million",32
Canada,1997,"Kilowatt-hours, million",32
Canada,1996,"Kilowatt-hours, million",32
Canada,1995,"Kilowatt-hours, million",33
Canada,1994,"Kilowatt-hours, million",33
Canada,1993,"Kilowatt-hours, million",33
Canada,1992,"Kilowatt-hours, million",33
Canada,1991,"Kilowatt-hours, million",32
Canada,1990,"Kilowatt-hours, million",26
France,2019,"Kilowatt-hours, million",478.964
France,2018,"Kilowatt-hours, million",479.93
France,2017,"Kilowatt-hours, million",521.706
France,2016,"Kilowatt-hours, million",501
France,2015,"Kilowatt-hours, million",487
France,2014,"Kilowatt-hours, million",481
France,2013,"Kilowatt-hours, million",414
France,2012,"Kilowatt-hours, million",458
France,2011,"Kilowatt-hours, million",477
France,2010,"Kilowatt-hours, million",476
France,2009,"Kilowatt-hours, million",448
France,2008,"Kilowatt-hours, million",465
France,2007,"Kilowatt-hours, million",465
France,2006,"Kilowatt-hours, million",464
France,2005,"Kilowatt-hours, million",481
France,2004,"Kilowatt-hours, million",470
France,2003,"Kilowatt-hours, million",490
France,2002,"Kilowatt-hours, million",494
France,2001,"Kilowatt-hours, million",485
France,2000,"Kilowatt-hours, million",507
France,1999,"Kilowatt-hours, million",515
France,1998,"Kilowatt-hours, million",522
France,1997,"Kilowatt-hours, million",510
France,1996,"Kilowatt-hours, million",491
France,1995,"Kilowatt-hours, million",507
France,1994,"Kilowatt-hours, million",501
France,1993,"Kilowatt-hours, million",494
France,1992,"Kilowatt-hours, million",516
France,1991,"Kilowatt-hours, million",517
France,1990,"Kilowatt-hours, million",503
Gibraltar,2019,"Kilowatt-hours, million",0.1
Gibraltar,2018,"Kilowatt-hours, million",0.1
Gibraltar,2017,"Kilowatt-hours, million",0.1
Gibraltar,2016,"Kilowatt-hours, million",0.1
South Korea,2019,"Kilowatt-hours, million",474.321
South Korea,2018,"Kilowatt-hours, million",485.353
South Korea,2017,"Kilowatt-hours, million",489.466
South Korea,2016,"Kilowatt-hours, million",496
South Korea,2015,"Kilowatt-hours, million",496
South Korea,2014,"Kilowatt-hours, million",492
South Korea,2013,"Kilowatt-hours, million",484
Portugal,2017,"Kilowatt-hours, million",0.006
Spain,2019,"Kilowatt-hours, million",20
United Kingdom,2019,"Kilowatt-hours, million",13.991
United Kingdom,2018,"Kilowatt-hours, million",9.298
United Kingdom,2017,"Kilowatt-hours, million",4.194
United Kingdom,2016,"Kilowatt-hours, million",0
United Kingdom,2015,"Kilowatt-hours, million",2
United Kingdom,2014,"Kilowatt-hours, million",2
United Kingdom,2013,"Kilowatt-hours, million",5
United Kingdom,2012,"Kilowatt-hours, million",4
United Kingdom,2011,"Kilowatt-hours, million",1
United Kingdom,2010,"Kilowatt-hours, million",2
United Kingdom,2009,"Kilowatt-hours, million",1
